County,x,y
Mandera,231.0,287.0
Wajir,182.0,139.0
Garissa,182.0,-15.0
Lamu,216.0,-151.0
Kilifi,140.0,-235.0
Mombasa,179.0,-311.0
Kwale,94.0,-324.0
Taita Taveta,23.0,-263.0
Kajiado,-93.0,-162.0
Narok,-200.0,-93.0
Turkana,-210.0,303.0
Marsabit,-45.0,245.0
Isiolo,46.0,100.0
Tana River,131.0,-108.0
Kitui,28.0,-92.0
Makueni,-26.0,-133.0
Machakos,-34.0,-94.0
West Pokot,-204.0,135.0
Baringo,-156.0,68.0
Samburu,-66.0,111.0
Laikipia,-96.0,35.0
Trans Nzoia,-220.0,94.0
Elgeyo Marakwet,-175.0,95.0
Migori,-267.0,-68.0
Homa Bay,-290.0,-34.0
Siaya,-287.0,-1.0
Busia,-292.0,45.0
Bungoma,-250.0,72.0
Kakamega,-239.0,35.0
Uasin Gishu,-193.0,54.0
Nandi,-205.0,24.0
Kisumu,-231.0,-2.0
Kericho,-199.0,-16.0
Nakuru,-152.0,-16.0
Bomet,-197.0,-56.0
Kisii,-236.0,-56.0
Nyandarua,-105.0,-8.0
Nyeri,-68.0,-20.0
Kirinyaga,-37.0,-29.0
Meru,-9.0,19.0
Tharaka Nithi,10.0,-5.0
Embu,-5.0,-36.0
Muranga,-63.0,-51.0
Kiambu,-77.0,-72.0
Nairobi,-70.0,-94.0
Vihiga,-241.0,15.0
Nyamira,-220.0,-38.0
